NonPAD-AC,PAD-AC,NonPAD-C1,PAD-C1,NonPAD-CIII,PAD-CIII,NonPAD-CIV,PAD_C IV,NonPAD_C V,PAD_C V
,,0.737979,0.920617,,,,,,
,,0.751308,0.921554,,,,,,
,,0.912941,0.591509,,,,,,
,,0.834842,0.646201,,,,,,
,,0.82526,0.855775,,,,,,
,,0.829357,0.870267,,,,,,
,,0.899097,0.793129,,,,,,
,,0.778141,0.460068,,,,,,
,,0.886009,0.874064,,,,,,
,,0.822554,0.864254,,,,,,
,,0.724387,0.899201,,,,,,
,,0.88517,0.858588,,,,,,
,,0.93241,0.665436,,,,,,
,,0.804832,0.905397,,,,,,
,,0.644132,0.845226,,,,,,
,,0.878883,0.887226,,,,,,
,,0.830962,0.89773,,,,,,
,,0.813855,0.861871,,,,,,
,,0.800107,0.772247,,,,,,
,,0.865059,0.588916,,,,,,
,,0.836684,0.948504,,,,,,
,,0.789376,0.8181,,,,,,
,,0.743909,0.830382,,,,,,
,,0.72373,0.940358,,,,,,
,,0.873013,0.884823,,,,,,
,,0.892031,0.728546,,,,,,
,,0.838936,0.98438,,,,,,
,,0.790968,0.924144,,,,,,
,,0.772243,0.919502,,,,,,
,,0.836327,0.874711,,,,,,
,,0.803632,0.915067,,,,,,
,,0.966687,0.663075,,,,,,
,,0.880514,0.856414,,,,,,
,,0.952902,0.709579,,,,,,
,,0.965654,0.880893,,,,,,
,,0.903062,0.637463,,,,,,
,,0.704191,0.608785,,,,,,
,,0.957738,0.684819,,,,,,
,,0.903046,0.8782,,,,,,
,,0.849967,0.775204,,,,,,
,,0.872512,0.45635,,,,,,
,,0.947102,0.970845,,,,,,
,,0.655567,0.967483,,,,,,
,,0.856775,0.941201,,,,,,
,,0.837237,0.869181,,,,,,
,,0.940883,0.925489,,,,,,
,,0.836189,0.567659,,,,,,
,,0.772943,0.627795,,,,,,
,,0.725723,0.879208,,,,,,
,,0.766321,0.878486,,,,,,
,,0.93317,0.771831,,,,,,
,,0.782763,0.807446,,,,,,
