prot1	prot2	r
ATP5F1A	UQCRQ	0.668613078201856
ATP5F1A	UQCR10	0.729117725315701
ATP5F1A	SDHA	0.706106779160198
ATP5F1A	SDHB	0.846786569212993
ATP5F1A	TIMMDC1	0.536822345495751
ATP5F1A	UQCRFS1	0.899165948466505
ATP5F1A	UQCC1	0.616080922777943
ATP5F1A	UQCC2	0.611873005336126
ATP5F1B	ATP5F1D	0.833867698580579
ATP5F1B	ATPAF1	0.718171508207008
ATP5F1B	ATPAF2	0.787663182630697
ATP5F1B	ATP5F1C	0.963568001963317
ATP5F1B	ATP5MF	0.736582625557213
ATP5F1B	ATP5PO	0.879527297316782
ATP5F1B	BCS1L	0.49755978687867
ATP5F1B	SDHC	0.798346858001137
ATP5F1B	NDUFAF1	0.568515619820682
ATP5F1B	COA3	0.551967023850085
ATP5F1B	MT-CO1	0.758490596744673
ATP5F1B	COX11	0.536683958639632
ATP5F1B	COX17	0.630668657347761
ATP5F1B	MT-CO2	0.843280043968942
ATP5F1B	COX20	0.619765847274663
ATP5F1B	COX4I1	0.884793016199996
ATP5F1B	COX6C	0.707008419400298
ATP5F1B	COX7C	0.540608346503688
ATP5F1B	COX7A2L	0.616720692938285
ATP5F1B	COX6B1	0.665676223519883
ATP5F1B	COX7A1	0.577483049438026
ATP5F1B	CYC1	0.971004566136321
ATP5F1B	ECSIT	0.69615224386393
ATP5F1B	FOXRED1	0.553309517011641
ATP5F1B	NDUFA2	0.819348729212386
ATP5F1B	NDUFA3	0.752777124299218
ATP5F1B	NDUFA5	0.839756078898738
ATP5F1B	NDUFA6	0.786283705227765
ATP5F1B	NDUFA7	0.819849743609362
ATP5F1B	NDUFA8	0.561952367144641
ATP5F1B	NDUFA9	0.809745278641942
ATP5F1B	NDUFA10	0.837243759199313
ATP5F1B	NDUFA11	0.699910199171504
ATP5F1B	NDUFA12	0.816396496548768
ATP5F1B	NDUFA13	0.806429068210072
ATP5F1B	NDUFB1	0.619411797614521
ATP5F1B	NDUFB3	0.773504718437438
ATP5F1B	NDUFB4	0.595156042743042
ATP5F1B	NDUFB5	0.865747833738289
ATP5F1B	NDUFB6	0.774892703512424
ATP5F1B	NDUFB8	0.5893340803002
ATP5F1B	NDUFB9	0.633114814320214
ATP5F1B	NDUFB10	0.822774995445127
ATP5F1B	NDUFB11	0.671687663903089
ATP5F1B	NDUFC2	0.683034784007961
